trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.4624853668753008}",30,8,-0.027226189119812005,"{0: 17, 1: 5, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,7,-40.45903946030021,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.44466151674170673}",30,15,21.95893151543037,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.43568244627671204}",20,10,-23.317142761979802,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",20,0,-107.28584802231315,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,1,24.36184303029813,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,0,-1.8533391896850624,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3993395294062732}",30,0,27.951678475916108,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3901516843082303}",25,16,11.651704844269574,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3809248243668818}",30,4,11.178478452870756,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.371659872260533}",25,4,-8.998597358977952,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3623577544766736}",25,10,-35.97230090756518,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.35301940121933034}",20,9,-23.085120757018647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.34364574631604705}",30,9,-48.33338164264702,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.3342377271245026}",25,15,-3.1389506473632247,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.32479628443877623}",30,7,-36.98730465250451,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.3153223623952687}",25,18,-0.07453006441160714,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.3058169083782893}",20,0,-62.04410526164977,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
